ID,TCGA-BR-4184-11A,TCGA-BR-4253-11A,TCGA-BR-4184-01A,TCGA-BR-4187-01A,TCGA-CG-4474-01A,TCGA-BR-4201-01A,TCGA-BR-4370-11A
cg00000292,0.750846113,0.690579998,0.665808887,0.779093131,0.755589029,0.63310196,0.578090365
cg00002426,0.809210295,0.500965411,0.336845728,0.640714466,0.454654475,0.833792424,0.496995741
cg00005847,0.482766034,0.50904703,0.779179578,0.396164034,0.7169067,0.560676356,0.383008741
cg00007981,0.033133633,0.022476733,0.027332299,0.020365882,0.035886014,0.035950115,0.031103986
cg00008493,0.938971309,0.937510684,0.93186077,0.942199324,0.938586216,0.958795028,0.942255368
cg00008713,0.057206654,0.045578202,0.059130174,0.042412918,0.033470526,0.026205169,0.057368209
cg00009407,0.025468692,0.024613693,0.024178996,0.022065112,0.027204086,0.025575783,0.028730286
cg00011459,0.940202738,0.941074814,0.907535458,0.918788166,0.937091311,0.910713466,0.918976021
cg00012199,0.037300734,0.039652682,0.043010806,0.036329563,0.034772169,0.037683285,0.040128981
cg00012386,0.030903742,0.04361768,0.02521141,0.038667503,0.03588337,0.028781252,0.049382282
cg00012792,0.059580523,0.059150199,0.04780005,0.065830136,0.049042685,0.045664777,0.059656727
cg00013618,0.68340891,0.7583066,0.497204437,0.701720651,0.401918726,0.87309724,0.819730259
cg00014085,0.031250158,0.028985392,0.049926781,0.030311421,0.043624977,0.024169275,0.064012975
cg00015770,0.400445356,0.49146917,0.685406998,0.399848349,0.658487968,0.639696867,0.323996204
cg00016968,0.790560547,0.533891541,0.375411094,0.593428592,0.439411346,0.535146056,0.553115953
cg00019495,0.137037362,0.127705974,0.117351214,0.222188497,0.175817669,0.224841575,0.178418711
cg00020533,0.834270818,0.877987405,0.869843493,0.893425898,0.818481718,0.90069586,0.936996271
cg00021527,0.027698886,0.027112062,0.037331797,0.032868425,0.043958237,0.023910253,0.047492671
cg00022866,0.51123019,0.628355567,0.439402308,0.560226828,0.668706884,0.565300845,0.662384095
cg00024396,0.11857145,0.200102988,0.742234776,0.128704926,0.542329483,0.070735302,0.169282669
cg00024812,0.029068308,0.037296951,0.028527358,0.021542467,0.020773596,0.026082291,0.02070754
cg00025138,0.014849143,0.007654936,0.042570729,0.007801974,0.010242266,0.007448082,0.011484507
cg00025991,0.598306819,0.640407217,0.666845718,0.55148693,0.499051852,0.528697749,0.610813638
cg00027083,0.468684907,0.550741296,0.57852117,0.412564952,0.520698481,0.553731975,0.511957275
cg00029826,0.063908277,0.035476685,0.076246004,0.036505663,0.046643227,0.057635459,0.085095839
cg00030047,0.5050781,0.671456864,0.734641789,0.51544081,0.667572121,0.680080427,0.453028792
cg00031162,0.448178344,0.402753503,0.581769842,0.543915362,0.317232977,0.546623426,0.451983432
cg00032227,0.015292937,0.014006656,0.01551229,0.011691511,0.015905657,0.011632865,0.013466499
cg00033516,0.125134367,0.13140822,0.06083705,0.056831878,0.061178531,0.048369254,0.088608828
cg00033773,0.82146044,0.721106934,0.696851165,0.788847101,0.848421628,0.732058776,0.819445061
cg00034039,0.074606469,0.069123521,0.055362035,0.075892626,0.056670527,0.060695732,0.05395051
cg00035623,0.077128925,0.055574884,0.52792702,0.030489151,0.07521249,0.053640289,0.079094297
cg00037940,0.936817758,0.89102872,0.900919698,0.943258141,0.742507365,0.918011927,0.927697817
cg00040861,0.034629444,0.03300799,0.021410794,0.025079507,0.030999628,0.026635987,0.03788304
cg00040873,0.266210498,0.214989188,0.110403404,0.134618986,0.11846314,0.131549873,0.204792753
cg00041575,0.304012433,0.585690932,0.343454329,0.573067381,0.44748186,0.366796756,0.72460752
cg00043004,0.199940575,0.217090768,0.077584715,0.121533971,0.10257722,0.104848361,0.167902727
cg00044245,0.291420015,0.345765757,0.528990328,0.079198889,0.354894161,0.294568502,0.249972319
cg00047050,0.073084849,0.044392356,0.058197302,0.075232887,0.074376695,0.041102168,0.083586868
cg00047469,0.078626802,0.057885951,0.058689976,0.060180061,0.067119255,0.068128832,0.054024388
cg00050312,0.039158583,0.041326688,0.037809828,0.042906204,0.039494326,0.027868067,0.032999342
cg00051979,0.059281124,0.061616948,0.076055003,0.060520351,0.061060733,0.04058162,0.077070128
cg00053292,0.082657218,0.09064816,0.100240436,0.073901202,0.070962101,0.062497372,0.085509873
cg00053647,0.086983957,0.045834975,0.134110037,0.017966748,0.101093154,0.06621173,0.13784328
cg00054706,0.028947177,0.033058007,0.025452981,0.028583395,0.024001057,0.026474913,0.029375683
cg00055233,0.302523198,0.277549782,0.379856621,0.383529199,0.477269499,0.188940601,0.435324696
cg00056767,0.063847187,0.063840784,0.055684437,0.06243875,0.061102973,0.057548445,0.062222165
cg00059225,0.551244759,0.603455772,0.535251757,0.461506843,0.639101563,0.320070535,0.546913756
cg00059424,0.024845786,0.021899371,0.031303871,0.033957122,0.029157901,0.019866962,0.029095597
cg00059740,0.028061041,0.032421509,0.022918019,0.031006992,0.026690274,0.019663285,0.027565438
cg00059930,0.595590392,0.640236437,0.773478725,0.688508111,0.709291529,0.817780352,0.689927316
cg00060762,0.04213759,0.063237249,0.045607539,0.098929459,0.049476594,0.037628849,0.063156274
cg00061059,0.059258463,0.064266724,0.100014817,0.060313045,0.075567136,0.089541835,0.053042218
cg00062776,0.929418755,0.920258424,0.931894638,0.933591583,0.7666742,0.935940076,0.898552639
cg00063144,0.897725852,0.869542988,0.897486592,0.925191451,0.680727817,0.946881633,0.950481605
cg00065385,0.962359337,0.945694632,0.940950215,0.940251446,0.950582695,0.954487892,0.9564903
cg00065408,0.051030214,0.050794603,0.052657402,0.0511487,0.041760088,0.05069153,0.037891367
cg00066153,0.966822348,0.935490787,0.956500352,0.954710689,0.941289444,0.953182003,0.945012735
cg00066816,0.185767894,0.233313692,0.205170481,0.259796158,0.388389189,0.21356482,0.223940666
cg00067471,0.129457242,0.073372218,0.095457289,0.107961154,0.070599343,0.221762323,0.118154356
cg00069261,0.040243201,0.036395946,0.046212036,0.041849535,0.041946555,0.038848345,0.042310489
cg00071250,0.520375356,0.612133609,0.497546285,0.665795531,0.490690401,0.772360424,0.678925865
cg00071998,0.044866121,0.036555779,0.044258117,0.056978484,0.034136438,0.029771178,0.067600483
cg00072216,0.015328586,0.015526649,0.017979054,0.014188087,0.015650055,0.012525867,0.017874113
cg00075967,0.710924763,0.5833232,0.459948651,0.844171881,0.489557457,0.613685735,0.682011052
cg00076645,0.040802843,0.043018401,0.048314606,0.041299568,0.042093168,0.039093836,0.037472498
cg00077877,0.734615548,0.595907803,0.389309286,0.64299384,0.419967257,0.586515646,0.729657285
cg00078194,0.026170625,0.021083509,0.042875479,0.021618384,0.024132025,0.010886248,0.04114935
cg00079563,0.143013896,0.109546367,0.138780527,0.007344629,0.016658956,-0.002852787,0.043183882
cg00080012,0.019234296,0.022102155,0.019521272,0.020632559,0.022400696,0.016317831,0.025392549
cg00081935,0.257281474,0.175264169,0.091924497,0.049221707,0.054315913,0.043810809,0.157613129
cg00081975,0.252856309,0.248448822,0.016539888,0.030601054,0.127053212,0.069452933,0.214463138
cg00083937,0.637193069,0.670787813,0.726241019,0.573795746,0.73205512,0.790509528,0.628270839
cg00084687,0.013283122,0.018821817,0.016846691,0.014662483,0.016804041,0.009085896,0.022603862
cg00089071,0.045655675,0.044851187,0.004155556,0.005044181,0.0083019,0.004094515,0.035987196
cg00091693,0.649520077,0.668850577,0.481223986,0.690065893,0.454159914,0.663294067,0.723930917
cg00093177,0.920219899,0.917336212,0.877070641,0.904348847,0.837711748,0.92536593,0.956490447
cg00094851,0.129399242,0.084661053,0.082678004,0.078764302,0.065384255,0.079226096,0.07572589
cg00095526,0.553279912,0.624343165,0.393345312,0.715285206,0.582311324,0.717357636,0.641978614
cg00095674,0.079801157,0.067534436,0.372639092,0.027000242,0.15610964,0.105970056,0.073111831
cg00096922,0.296259721,0.2756024,0.36361391,0.115511956,0.303872319,0.122722067,0.138848108
cg00097536,0.056330559,0.060830475,0.056845737,0.051154254,0.060608007,0.039144042,0.043353148
cg00098239,0.010874325,0.02434616,0.033186688,0.027706979,0.02255561,0.010934992,0.046035852
cg00101227,0.845432121,0.882096623,0.758547281,0.898939347,0.892006786,0.884792919,0.816550574
cg00103783,0.021176383,0.01740668,0.022328686,0.019485351,0.017377218,0.014005605,0.017179252
cg00105253,0.086013862,0.054408009,0.079503596,0.082370127,0.082187509,0.053172367,0.094737572
cg00105470,0.002961953,0.011480425,0.032838989,0.010452263,0.013376332,0.00778334,0.015990181
cg00107187,0.35887651,0.42076619,0.566444495,0.413594568,0.493647606,0.502751206,0.326750685
cg00107632,0.031954976,0.050350921,0.048783637,0.040991604,0.044243619,0.037212684,0.030006179
cg00108454,0.374497818,0.328464594,0.274711144,0.403502853,0.340005555,0.369743619,0.376715889
cg00109274,0.038962658,0.038564876,0.044007923,0.037002644,0.061151698,0.054262858,0.038161844
cg00112517,0.249636312,0.259191297,0.02984919,0.104722719,0.133345768,0.254778576,0.187522797
cg00113951,0.084837128,0.090307389,0.071285971,0.110107705,0.0715964,0.054357488,0.034584888
cg00115714,0.046577467,0.033978695,0.031500318,0.034909836,0.038156356,0.028167972,0.036165636
cg00116234,0.069564491,0.083105629,0.081184531,0.194800461,0.41085351,0.441214448,0.082660939
cg00116838,0.126843571,0.11639038,0.366175112,0.171990896,0.351845069,0.403077703,0.096891656
cg00117172,0.12991347,0.273525083,0.743910104,0.13766073,0.582325084,0.11193245,0.224774089
cg00119079,0.041777316,0.052992253,0.057181868,0.048235605,0.04341602,0.03789341,0.06673301
cg00121158,0.043376097,0.031433307,0.036837096,0.030753373,0.026320475,0.016869992,0.031187586
cg00123035,0.05701133,0.073947872,0.06325318,0.084249723,0.057117442,0.061554464,0.052534521
cg00126034,0.064946672,0.162562293,0.429602682,0.078002688,0.270255666,0.153207423,0.133221754
cg00128654,0.05991339,0.051936929,0.151599306,0.050210602,0.055050081,0.051689317,0.059697253
cg00128877,0.16083769,0.089842522,0.051104901,0.062133177,0.052912407,0.040250244,0.083738408
cg00129774,0.028762494,0.031969307,0.032080795,0.029010161,0.039936729,0.029506945,0.044150795
cg00131121,0.072264695,0.069434363,0.072133499,0.073883581,0.07302597,0.067848986,0.06382401
cg00131557,0.907641655,0.93195951,0.930887142,0.925697476,0.857405733,0.920006181,0.904442442
cg00132141,0.470453635,0.428634018,0.25030869,0.46136171,0.334109187,0.834425478,0.626628357
cg00133909,0.29594675,0.25828546,0.023888392,0.042018071,0.042677963,0.079262295,0.169774832
cg00134539,0.708239988,0.7472173,0.747392984,0.715555305,0.731965768,0.777637597,0.771257533
cg00135056,0.217442718,0.208863764,0.084870357,0.095904486,0.116939592,0.084291954,0.168906128
cg00136105,0.027589808,0.028663151,0.043492252,0.025136509,0.025916039,0.024719393,0.036894999
cg00136405,0.337151706,0.327734083,0.249153315,0.602496678,0.282302226,0.502312493,0.569284923
cg00136477,0.373584396,0.444935901,0.365872734,0.488502021,0.348887975,0.51289584,0.506072994
cg00138126,0.631459682,0.590753459,0.524769161,0.652924244,0.620669492,0.656462832,0.672969935
cg00141162,0.284099614,0.479053324,0.580350153,0.41381476,0.511159214,0.427609724,0.463822577
cg00143998,0.071893667,0.045224138,0.358439668,0.039235882,0.040000796,0.039039691,0.061206107
cg00145118,0.458190682,0.413076755,0.186532915,0.360245904,0.278657864,0.218110896,0.380674374
cg00146096,0.017644584,0.017387694,0.009439908,0.012561896,0.014711192,0.00621922,0.018748125
cg00149659,0.034541401,0.047708654,0.038572701,0.026150313,0.045608316,0.057680806,0.047452918
cg00149976,0.052970861,0.049919433,0.060320753,0.050431126,0.051215895,0.04578079,0.071727708
cg00151607,0.01696655,0.013112758,0.017732118,0.013231426,0.014748135,0.015318548,0.014019464
cg00152644,0.835815237,0.823346928,0.766355442,0.724007992,0.717867912,0.814658194,0.87232395
cg00155167,0.054122214,0.044575518,0.070750223,0.042421887,0.043735821,0.048732989,0.050844382
cg00155485,0.031202181,0.018431262,0.025204066,0.022388176,0.019319451,0.024050149,0.029691778
cg00155609,0.044969105,0.032979799,0.030090574,0.031230478,0.037134792,0.040211056,0.043202245
cg00156216,0.013526368,0.014093943,0.027540044,0.015303742,0.039541421,0.009849641,0.020339621
cg00156744,0.027928626,0.035306145,0.028468218,0.027725285,0.037382302,0.058740046,0.042038167
cg00158308,0.211229165,0.139077771,0.362062667,0.107833664,0.602480463,0.10730983,0.221235254
cg00160914,0.153251919,0.108532024,0.228547078,0.142919739,0.109398496,0.109072816,0.169801615
cg00162401,0.041930852,0.031486394,0.090101179,0.040942595,0.034203226,0.02967734,0.028586852
